,b,angle,x/z,T_max
1416,0.4,-0.18855549482523873,-0.6492179718276617,3.160000000000002
1417,0.4,-0.2155986121524833,-0.6443678350631546,3.1700000000000017
1418,0.4,-0.2428743662240959,-0.6396400510758828,3.180000000000002
1419,0.4,-0.2703849946222294,-0.6350376759619977,3.190000000000002
1420,0.4,-0.2981325923170145,-0.6305638924368424,3.200000000000002
1421,0.4,-0.32611908879807555,-0.6262220117908613,3.2100000000000017
1422,0.4,-0.3543462235588118,-0.6220154755168705,3.220000000000002
1423,0.4,-0.3828155199311763,-0.6179478565555848,3.230000000000002
1424,0.4,-0.4115282572884809,-0.6140228601022873,3.240000000000002
1425,0.4,-0.4404854416572309,-0.6102443239136126,3.2500000000000018
1426,0.4,-0.4696877748049862,-0.6066162180497039,3.260000000000002
1427,0.4,-0.499135621901415,-0.6031426439835795,3.2700000000000022
1428,0.4,-0.528828977883242,-0.5998278330065426,3.280000000000002
1429,0.4,-0.5587674326899809,-0.5966761438560026,3.290000000000002
1430,0.4,-0.5889501355780704,-0.5936920594903122,3.300000000000002
1431,0.4,-0.6193757587624181,-0.5908801829342892,3.3100000000000023
1432,0.4,-0.6500424606806239,-0.5882452321191826,3.320000000000002
1433,0.4,-0.6809478492207962,-0.5857920336420974,3.330000000000002
1434,0.4,-0.71208894530139,-0.5835255153725027,3.340000000000002
1435,0.4,-0.7434621472385998,-0.5814506978375644,3.3500000000000023
1436,0.4,-0.7750631963818608,-0.5795726843238326,3.360000000000002
1437,0.4,-0.806887144540914,-0.577896649640399,3.370000000000002
1438,0.4,-0.838928323764645,-0.5764278274981305,3.380000000000002
1439,0.4,-0.8711803190640303,-0.5751714964710563,3.3900000000000023
1440,0.4,-0.9036359446936851,-0.5741329645194609,3.400000000000002
1441,0.4,-0.936287224619689,-0.5733175520696799,3.410000000000002
1442,0.4,-0.9691253778014886,-0.5727305736629176,3.420000000000002
1443,0.4,-1.0021408089029662,-0.5723773182044589,3.4300000000000024
1444,0.4,-1.0353231050185547,-0.5722630278651606,3.440000000000002
1445,0.4,-1.0686610389558988,-0.5723928757088066,3.450000000000002
1446,0.4,-1.1021425795534927,-0.5727719421413743,3.460000000000002
1447,0.4,-1.1357549094323656,-0.5734051903010428,3.4700000000000024
1448,0.4,-1.169484450483513,-0.5742974405303483,3.480000000000002
1449,0.4,-1.2033168972800126,-0.575453344093686,3.490000000000002
1450,0.4,-1.2372372584756608,-0.5768773563237716,3.500000000000002
1451,0.4,-1.2712299061127068,-0.5785737093990904,3.5100000000000025
1452,0.4,-1.3052786326150083,-0.5805463849701875,3.5200000000000022
1453,0.4,-1.3393667150904096,-0.582799086865319,3.530000000000002
1454,0.4,-1.3734769864152083,-0.5853352141150077,3.5400000000000023
1455,0.4,-1.4075919124262946,-0.5881578345400233,3.5500000000000025
1456,0.4,-1.4416936744088689,-0.591269659147944,3.5600000000000023
1457,0.4,-1.475764255944653,-0.5946730175796032,3.570000000000002
1458,0.4,-1.5097855330806909,-0.5983698348383694,3.5800000000000023
1459,0.4,-1.543739366696637,-0.6023616095224792,3.5900000000000025
1460,0.4,1.563984957697611,-0.6066493937638362,3.6000000000000023
1461,0.4,1.5302200224021723,-0.6112337750562171,3.610000000000002
1462,0.4,1.4965761072587003,-0.616114860132243,3.6200000000000023
1463,0.4,1.4630704860544925,-0.6212922610224034,3.6300000000000026
1464,0.4,1.429719994565368,-0.6267650834015981,3.6400000000000023
1465,0.4,1.3965409497349315,-0.6325319172998135,3.650000000000002
1466,0.4,1.3635490745101027,-0.6385908302244516,3.6600000000000024
1467,0.4,1.3307594291379778,-0.6449393627132003,3.6700000000000026
1468,0.4,1.2981863495901482,-0.6515745263088641,3.6800000000000024
1469,0.4,1.2658433936307323,-0.6584928039218528,3.690000000000002
1470,0.4,1.2337432948912748,-0.6656901525225645,3.7000000000000024
1471,0.4,1.2018979251613051,-0.6731620080850858,3.7100000000000026
1472,0.4,1.1703182649540265,-0.68090329268574,3.7200000000000024
1473,0.4,1.1390143822652214,-0.6889084236451971,3.730000000000002
1474,0.4,1.1079954193146644,-0.6971713245911652,3.7400000000000024
1475,0.4,1.0772695869436135,-0.7056854383100425,3.7500000000000027
1476,0.4,1.0468441662437338,-0.7144437412501764,3.7600000000000025
1477,0.4,1.016725516911417,-0.7234387595363193,3.7700000000000022
1478,0.4,0.9869190917576856,-0.7326625863542204,3.7800000000000025
1479,0.4,0.9574294567587643,-0.7421069005657138,3.7900000000000027
1480,0.4,0.9282603160030218,-0.7517629864178302,3.8000000000000025
1481,0.4,0.899414540877354,-0.7616217542140138,3.8100000000000023
1482,0.4,0.8708942028371764,-0.771673761821142,3.8200000000000025
1483,0.4,0.8427006091177266,-0.7819092368923913,3.8300000000000027
1484,0.4,0.8148343407687018,-0.7923180996927942,3.8400000000000025
1485,0.4,0.7872952924272292,-0.8028899864213177,3.8500000000000023
1486,0.4,0.760082713282979,-0.8136142729302568,3.8600000000000025
1487,0.4,0.7331952487345799,-0.8244800987494958,3.8700000000000028
1488,0.4,0.7066309822828006,-0.8354763913296023,3.8800000000000026
1489,0.4,0.68038747725621,-0.8465918904236898,3.8900000000000023
1490,0.4,0.6544618180137188,-0.8578151725334481,3.9000000000000026
1491,0.4,0.6288506503175398,-0.869134675349649,3.910000000000003
1492,0.4,0.6035502206169938,-0.8805387221218048,3.9200000000000026
1493,0.4,0.5785564140286572,-0.8920155458954699,3.9300000000000024
1494,0.4,0.5538647908394266,-0.9035533135590064,3.9400000000000026
1495,0.4,0.5294706213983835,-0.9151401496444835,3.950000000000003
1496,0.4,0.5053689192978323,-0.9267641598298466,3.9600000000000026
1497,0.4,0.48155447277557045,-0.9384134540916096,3.9700000000000024
1498,0.4,0.45802187429816515,-0.9500761694591808,3.9800000000000026
1499,0.4,0.4347655483093459,-0.9617404923235743,3.990000000000003
1500,0.4,0.4117797771486563,-0.9733946802547746,4.000000000000003
1501,0.4,0.3890587251630676,-0.985027083283458,4.0100000000000025
1502,0.4,0.36659646104941185,-0.9966261646041888,4.020000000000003
1503,0.4,0.3443869784770043,-1.0081805206586616,4.030000000000003
1504,0.4,0.322424215050344,-1.019678900559085,4.040000000000003
1505,0.4,0.300702069678262,-1.0311102248134472,4.0500000000000025
1506,0.4,0.27921441842220485,-1.0424636033161794,4.060000000000002
1507,0.4,0.2579551288996551,-1.0537283525696872,4.070000000000003
1508,0.4,0.2369180733214377,-1.0648940121043489,4.080000000000003
1509,0.4,0.21609714024211144,-1.0759503600668845,4.0900000000000025
1510,0.4,0.19548624510373144,-1.0868874279495166,4.100000000000003
1511,0.4,0.17507933965111414,-1.0976955144350207,4.110000000000003
1512,0.4,0.1548704202966069,-1.1083651983356335,4.120000000000003
1513,0.4,0.13485353550880125,-1.118887350606805,4.130000000000003
1514,0.4,0.11502279229837997,-1.1292531454199526,4.140000000000002
1515,0.4,0.09537236187029544,-1.139454070281655,4.150000000000003
1516,0.4,0.07589648450908901,-1.1494819351901129,4.160000000000003
1517,0.4,0.05658947376018519,-1.1593288808231574,4.170000000000003
1518,0.4,0.037445719967410585,-1.1689873857555801,4.180000000000003
1519,0.4,0.01845969322235513,-1.1784502727070743,4.190000000000003
1520,0.4,-0.00037405422082584087,-1.1877107138255836,4.200000000000003
1521,0.4,-0.019060886016551377,-1.1967622350142997,4.210000000000003
1522,0.4,-0.03760608023797506,-1.2055987193139515,4.220000000000002
1523,0.4,-0.056014828284032675,-1.2142144093553198,4.230000000000003
